YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,Puerto Rican,South American,Total,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se
1910,30.828220858895705,19.48785539446432,0,17.493850497892165,20.396519754671232,1.7796760989499911,18.862951807228917,17.876947530113693,0,0,0,0,0,0,0,0
1940,11.740847475717793,14.564715113997995,NA,11.814878843237986,11.936893953851886,6.125271685437661,14.15543219666931,11.736129233928208,0,0,0,0,0,0,0,0
1950,10.314980793854033,10.2157223183391,6.465661641541039,8.602976228821749,11.451468973091707,3.790011907263431,15.155346334902488,8.580998303214882,0,0,0,0,0,0,0,0
1960,4.7708517536103745,6.094379127073603,6.086156676375901,4.7955014632697734,8.523916128937858,1.7925325780280825,6.856558239152468,4.595282616488448,0,0,0,0,0,0,0,0
1970,4.71253534401508,5.807622504537205,4.6683046683046685,4.500349406009783,8.768971332209107,3.513986013986014,5.285714285714286,4.591365577744431,0,0,0,0,0,0,0,0
1980,NA,8.135922330097088,NA,3.874445908709716,5.392781316348195,2.6949335249730506,NA,4.392141552447748,0,0,0,0,0,0,0,0
2000,6.683295662780145,9.351915346747171,5.42168813062582,5.326218028962889,7.481648867516691,3.5199024252184987,8.3665551112569,5.780790991964885,0,0,0,0,0,0,0,0
2005,9.494220526322797,13.053467050765608,8.335042978044932,7.0861145821446065,8.416817550487211,5.1544030781955525,11.591370746949917,7.774609208148486,0.17379405946442092,0.2358253382413742,0.26970106083604917,0.058258665735839474,0.11156230800744946,0.11596761590119287,0.1890859926032857,0.043764649852028575
2009,9.742256987674551,12.576570836983356,8.379896624733641,7.717030567904298,8.572328252513394,4.862828735524646,12.472467116734881,8.239875560606285,0.14290860960591598,0.22838087925621295,0.2326187947077296,0.043858622629129325,0.15353971598338154,0.08572348018989549,0.1935107264763004,0.03505709991465104
2015,10.679745602399024,12.31474236604742,7.872988903301618,7.658358229823309,8.333761954237003,5.068266110765309,12.825580156917505,8.31893645990145,0.10764154696980091,0.20285171182481473,0.21422884384934948,0.044094896000483864,0.16862288638424525,0.09310837633800835,0.17336970255136944,0.034971395881768334
2022,11.98456204535825,14.039437950171212,9.35111077920418,9.447261455795202,10.083355776000502,7.253359980260625,13.661110367677614,10.088350873657735,0.12334700725699724,0.16766505945947646,0.19960327348605167,0.04189555880229327,0.1388206848636184,0.11038513945297297,0.1280462715947121,0.03233110923232138
