YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,Puerto Rican,South American,Total,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se
1910,30.828220858895705,19.48785539446432,0,17.493850497892165,20.396519754671232,1.7796760989499911,18.862951807228917,17.876947530113693,0,0,0,0,0,0,0,0
1940,11.740847475717793,14.564715113997995,NA,11.814878843237986,11.936893953851886,6.125271685437661,14.15543219666931,11.736129233928208,0,0,0,0,0,0,0,0
1950,10.314980793854033,10.2157223183391,6.465661641541039,8.602976228821749,11.451468973091707,3.790011907263431,15.155346334902488,8.580998303214882,0,0,0,0,0,0,0,0
1960,4.7708517536103745,6.094379127073603,6.086156676375901,4.7955014632697734,8.523916128937858,1.7925325780280825,6.856558239152468,4.595282616488448,0,0,0,0,0,0,0,0
1970,4.71253534401508,5.807622504537205,4.6683046683046685,4.500349406009783,8.768971332209107,3.513986013986014,5.285714285714286,4.591365577744431,0,0,0,0,0,0,0,0
1980,NA,8.135922330097088,NA,3.874445908709716,5.392781316348195,2.6949335249730506,NA,4.392141552447748,0,0,0,0,0,0,0,0
2000,6.683295662780145,9.351915346747171,5.42168813062582,5.326218028962889,7.481648867516691,3.5199024252184987,8.3665551112569,5.780790991964885,0,0,0,0,0,0,0,0
2001,7.665818449227145,11.424697662701332,7.705365457291748,6.4679110888880755,6.928048898196845,4.4752174015322,10.352012192408264,6.85655975280356,0,0,0,0,0,0,0,0
2005,9.494220526322797,13.053467050765608,8.335042978044932,7.0861145821446065,8.416817550487211,5.1544030781955525,11.591370746949917,7.774609208148486,0.17379405946442092,0.2358253382413742,0.26970106083604917,0.058258665735839474,0.11156230800744946,0.11596761590119287,0.1890859926032857,0.043764649852028575
2010,9.9972895639087,12.54067160861172,7.108396514060129,7.455004060200547,8.953392824861542,4.426172675102306,11.969980193149636,8.025573848537496,0.12795445066493966,0.2280416910374156,0.19068205581467246,0.05073533128499639,0.16513901976910972,0.097002910951246,0.16244480039705425,0.04001411965855213
2011,10.011884559469783,11.637600899733782,7.6322535824539255,7.32353594900472,8.03161958027832,4.55665833898965,11.95904573754475,7.880746848322529,0.14770208575602706,0.2349468940761854,0.21568620259814095,0.05391411750126374,0.16783679263232748,0.095770691346453,0.15552676292015702,0.04224174259100265
2015,10.679745602399024,12.31474236604742,7.872988903301618,7.658358229823309,8.333761954237003,5.068266110765309,12.825580156917505,8.31893645990145,0.10764154696980091,0.20285171182481473,0.21422884384934948,0.044094896000483864,0.16862288638424525,0.09310837633800835,0.17336970255136944,0.034971395881768334
2016,10.528145117772072,11.841197187082301,7.825025758749142,7.988905445922233,8.569692570123342,5.438147307989369,12.727671198933393,8.524048382666672,0.14081405534819674,0.18888632001589956,0.1993152353022828,0.04596176871977411,0.15528460365129768,0.08843439114347872,0.14886507530908302,0.03660990051167118
2019,11.406360866233857,11.860201459856109,7.274235506364383,8.269030392802675,8.654393099652156,5.697429208374655,12.430154308531757,8.79509807422183,0.12517665793887786,0.194062605987811,0.17476727562232958,0.04240968667176136,0.1568647987042876,0.10084364238568405,0.16022415051884498,0.033507249538926365
2022,11.98456204535825,14.039437950171212,9.35111077920418,9.447261455795202,10.083355776000502,7.253359980260625,13.661110367677614,10.088350873657735,0.12334700725699724,0.16766505945947646,0.19960327348605167,0.04189555880229327,0.1388206848636184,0.11038513945297297,0.1280462715947121,0.03233110923232138
2023,12.145999255594468,14.595585748938673,9.209142042361012,9.597152667851335,10.022402251217395,6.679194968428182,14.024398166375637,10.244571242493835,0.13122136752362512,0.20809355407428992,0.20381068390639026,0.046939971792648263,0.15954096584289326,0.10091686449785861,0.18346877236376244,0.0403693864501814
