YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1910,9.550154181026665,22.116360107626484,19.658085005743633,17.876947530113693,16.670129078721402,0,0,0,0,0
1940,8.634167582474548,7.110765656496635,15.675313417981604,11.736129233928208,10.70937503313763,0,0,0,0,0
1950,6.616079897338615,6.147137677514729,11.123332540591962,8.580998303214882,8.112035578866262,0,0,0,0,0
1960,2.463643004183545,3.0013369345768086,6.897414929657383,4.595282616488448,4.2105205133105,0,0,0,0,0
1970,3.368623676612127,3.885316184351554,5.961131809485449,4.591365577744431,4.209763489030898,0,0,0,0,0
1980,3.30016583747927,3.490046590427785,5.6417489421720735,4.392141552447748,4.059822202252961,0,0,0,0,0
2000,3.7204948995977793,5.14807106809124,6.3451686997887125,5.780790991964885,5.97246327820168,0,0,0,0,0
2001,4.279133611092077,5.774059635977238,8.128254863252478,6.85655975280356,6.7973836313803515,0,0,0,0,0
2005,5.034777212910755,6.653017631715055,9.084670721853831,7.774609208148486,7.672164108831681,0.10515185823271712,0.11029376980162178,0.07365326014852201,0.043764649852028575,0.06455460550700251
2010,5.158160415416761,6.776169390066159,9.19941757159309,8.025573848537496,8.050024190028894,0.10333537880723898,0.08574757764719387,0.06362554957518098,0.04001411965855213,0.06124629769808275
2011,4.673208841463414,6.673761566847181,9.1790370761634,7.880746848322529,7.857181113850643,0.10729033095790069,0.09322839703275598,0.07518180342761428,0.04224174259100265,0.05843785662852567
2015,5.436400991040821,7.880519595535781,9.436564336688848,8.31893645990145,8.099480737520866,0.08032465947344453,0.1034481637468068,0.06840312825446383,0.034971395881768334,0.05396358260466053
2016,5.589287092079977,7.059930896567255,9.840416663534112,8.524048382666672,8.48989467396133,0.10885455610165026,0.0973138379592279,0.07080613536809913,0.03660990051167118,0.05451017049222197
2019,6.039163931171213,7.294350820926997,10.187512262872147,8.79509807422183,8.630882665262904,0.09934013817419753,0.10151023564926052,0.07028567107820478,0.033507249538926365,0.05434457044298378
2022,7.440977621150736,8.867253782763086,11.896583115333534,10.088350873657735,9.37024907516482,0.11044411606651997,0.09263219870214973,0.06118596213797053,0.03233110923232138,0.05791732534589323
2023,7.755922600689923,8.719469014260522,11.964025803942302,10.244571242493835,9.672582831172491,0.12139197015526436,0.09859573683857027,0.06608210448010567,0.0403693864501814,0.06219614214962601
