YEAR,metric,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican
1910,pct_citizen,28.591749644381224,22.6389997339718,13.30551692165044,25.131611932815243,32.50311332503113,34.50171821305842,16.199533693811166,NA
1910,pct_not_citizen,71.40825035561878,77.3610002660282,86.69448307834956,74.86838806718475,67.49688667496886,65.49828178694158,83.80046630618884,NA
1910,pct_first_papers,0,9.324288374567704,2.828910887488978,8.792930559037353,10.012453300124532,3.4364261168384878,4.052186607516176,NA
1920,pct_citizen,11.622189086881999,20.725265594397285,4.438255943725144,10.714940129010271,6.509732274611762,26.721611689037683,6.195571182235267,25.108499536743548
1920,pct_not_citizen,88.37781091311801,79.2747344056027,95.5617440562758,89.28505987099001,93.49026772538821,73.27838831096226,93.80442881776519,74.89150046325645
1920,pct_first_papers,13.475752301362773,6.208735771321088,1.163982088756753,6.912773952137169,27.688637481554327,11.383543882801323,2.8538115303965164,0
1940,pct_citizen,38.55257168866636,29.629934888321106,13.541060963543648,42.81288609415626,55.64387917329094,53.963394118834536,21.034732688303173,NA
1940,pct_not_citizen,61.44742831133364,70.3700651116789,86.45893903645636,57.18711390584374,44.35612082670906,46.036605881165464,78.96526731169683,NA
1940,pct_first_papers,9.103322712790169,8.060661007170527,5.057614734759114,10.99964963395969,28.457869634340224,9.481192382746787,6.334947826186998,NA
1980,pct_citizen,NA,45.82944288826642,27.24045001497198,30.27636251350934,72.05673758865248,NA,31.62072615158069,NA
1980,pct_not_citizen,NA,54.17055711173358,72.75954998502802,69.72363748649066,27.94326241134752,NA,68.3792738484193,NA
1980,pct_first_papers,NA,0,0,0,0,NA,0,NA
2000,pct_citizen,27.49142171338242,61.04616998830487,23.506976682961216,34.941257184712455,56.6178982547345,37.44862762366065,29.141349054978516,35.768699517612745
2000,pct_not_citizen,72.50857828661758,38.95383001169513,76.49302331703879,65.05874281528754,43.3821017452655,62.55137237633935,70.85865094502148,64.23130048238725
2000,pct_first_papers,0,0,0,0,0,0,0,0
2005,pct_citizen,26.973878664832686,62.06666652069863,23.188057841195022,46.833939274394915,69.68696445136236,39.02204924689334,29.255931940407553,46.16389762272163
2005,pct_not_citizen,73.02612133516732,37.93333347930137,76.81194215880498,53.166060725605085,30.313035548637643,60.97795075310666,70.74406805959245,53.83610237727837
2005,pct_first_papers,0,0,0,0,0,0,0,0
2010,pct_citizen,30.07969251371528,55.80042999738587,24.567899891094985,54.181814057156465,68.67709906494007,44.32713998724629,31.183562798454417,48.90322886442968
2010,pct_not_citizen,69.92030748628471,44.19957000261413,75.43210010890502,45.818185942843535,31.322900935059927,55.67286001275371,68.81643720154558,51.09677113557032
2010,pct_first_papers,0,0,0,0,0,0,0,0
2015,pct_citizen,33.67472396639423,59.649554186586485,30.11486761545902,51.704876566936555,67.41465234656077,52.67662597517714,36.998776937317935,55.22795821130393
2015,pct_not_citizen,66.32527603360577,40.350445813413515,69.88513238454098,48.295123433063445,32.58534765343922,47.32337402482286,63.001223062682065,44.77204178869607
2015,pct_first_papers,0,0,0,0,0,0,0,0
2022,pct_citizen,35.47583606814607,64.99170564306779,37.95245459997962,51.94961681761305,67.8301334948921,53.27829890320648,43.31533733452482,58.38740110436947
2022,pct_not_citizen,64.52416393185393,35.00829435693221,62.04754540002038,48.05038318238695,32.169866505107905,46.72170109679352,56.68466266547518,41.61259889563053
2022,pct_first_papers,0,0,0,0,0,0,0,0
