YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1910,28.591749644381224,31.963288108539505,16.134427809139417,33.92454249185259,42.515566625155664,37.93814432989691,20.251720301327342,NA,0,0,0,0,0,0,0,0
1940,47.65589440145653,37.69059589549163,18.598675698302763,53.812535728115954,84.10174880763115,63.44458650158132,27.36968051449017,NA,0,0,0,0,0,0,0,0
1950,57.28304074196754,50.18076132416531,31.49475697805979,65.70830227522805,78.06631115233016,61.86226721659793,39.20245827937506,36.92691783931003,0,0,0,0,0,0,0,0
1970,41.01307189542484,27.4746192893401,41.89531934516947,61.43386897404203,76.35135135135135,32.158590308370044,37.693367238821786,34.09490333919157,0,0,0,0,0,0,0,0
1980,NA,45.82944288826642,27.24045001497198,30.27636251350934,72.05673758865248,NA,31.62072615158069,NA,0,0,0,0,0,0,0,0
2000,26.550902118863956,61.61657887946874,22.72292627506447,43.959853255085235,67.30619032022373,37.911819363432265,28.369956867849133,35.46482222642107,0,0,0,0,0,0,0,0
2001,28.846014960020636,57.1520140190979,23.14918033952239,45.25807063908073,61.32183469434481,38.081986961666814,29.35939102249749,44.71685309633781,0,0,0,0,0,0,0,0
2005,26.973878664832686,62.06666652069863,23.188057841195022,46.833939274394915,69.68696445136236,39.02204924689334,29.255931940407553,46.16389762272163,0.27413832042879116,0.4966551896167445,0.13213720018650055,0.48329480403056735,1.416520899167059,0.3627684120716075,0.11726170759183306,0.5821541546320353
2010,30.07969251371528,55.80042999738587,24.567899891094985,54.181814057156465,68.67709906494007,44.32713998724629,31.183562798454417,48.90322886442968,0.21671418457351496,0.4280409424077551,0.09873864295608231,0.5611824280923181,0.8587372556748624,0.22839673546692663,0.08021230424482764,0.43490422974388243
2011,31.180735247271326,55.6365814356841,25.848098520693398,49.0044964835193,68.11207715350332,47.40286876349609,32.39170656113427,50.006447684608425,0.236641181453147,0.4301747426306638,0.09976568405810587,0.6583530923430925,1.155661552421432,0.3006746572044133,0.09366188149646784,0.45029145740057774
2015,33.67472396639423,59.649554186586485,30.11486761545902,51.704876566936555,67.41465234656077,52.67662597517714,36.998776937317935,55.22795821130393,0.222458981314452,0.40891070924128586,0.11111130678751135,0.521579949905902,0.9702339316683976,0.3054632497820909,0.09292489121104833,0.4285967790151163
2016,33.68220005299714,58.29188663517644,30.803752947402135,53.57035561746175,73.5526495517581,55.3481028209112,37.75734952938134,54.37716658587226,0.21646586477464372,0.3733204579328334,0.10653391967564474,0.5816804846217557,0.8157043557019475,0.28154051063261154,0.09357320460834384,0.49805749882720024
2019,34.622581778223555,61.91505607218704,36.245348161111856,53.65156084109293,72.05007588135761,55.2994575659449,42.04254328777952,58.86309453588412,0.2480088972055929,0.3680973614196625,0.1419292441729532,0.6003611559709658,0.8566055143134633,0.24814743550090915,0.08811347125104443,0.45833642643863143
2022,35.47583606814607,64.99170564306779,37.95245459997962,51.94961681761305,67.8301334948921,53.27829890320648,43.31533733452482,58.38740110436947,0.22325951443895603,0.4059586497845998,0.12426321052535075,0.47234039704658864,0.8147721589816114,0.22896283930784003,0.08180747551943399,0.4448954317735122
2023,32.41823486836153,59.04875841591066,37.40032690600154,51.41221296827056,70.1854857294154,47.309730645923885,41.37463253959321,59.499743554460274,0.203501697659964,0.37554293677933076,0.12115806405008243,0.4570622446765036,0.7335173131687073,0.23682435165758703,0.08824907384264374,0.39956928572502004
