YEAR,Black,White,Black_se,White_se
1910,28.268361455489416,63.242384239162845,0,0
1940,52.95775052829809,79.47808355872112,0,0
1950,63.736858788102914,82.24058828066055,0,0
1970,53.8946587537092,75.6571487475518,0,0
1980,48.20830750154991,71.72469490308686,0,0
2000,46.52397154984621,60.75280785378177,0,0
2001,47.027291150582755,59.563792452025396,0,0
2005,49.63187454756542,62.338550778055286,0.25692692138320716,0.13115474637620703
2010,53.93488894927984,65.0980173664048,0.21140931448266384,0.12276941836893128
2011,55.4775742267183,66.44316361926175,0.24638764924053064,0.14025740677231857
2015,60.50619800464162,67.34029207893238,0.18689197081478656,0.11879485187148836
2016,61.34025316699938,67.98936045919802,0.21516302268908089,0.12720287608343192
2019,63.73332821780679,69.56240920962007,0.2249415308022678,0.12423108714836757
2022,66.18806462324609,72.41892109353874,0.22936507485490573,0.1291366810529484
2023,66.94282762541825,72.33473242222031,0.2587744711368313,0.1363099648875484
