YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1910,16.522312958838572,37.71091685301891,20.184409597091005,20.251720301327342,18.15649751936635,0,0,0,0,0
1940,31.3763843737947,54.80950820183858,22.724037177392567,27.36968051449017,20.845405324350523,0,0,0,0,0
1950,50.211733358709616,63.1794198290362,30.985329261505797,39.20245827937506,35.96973356665763,0,0,0,0,0
1970,39.63414634146341,37.03007518796993,36.98583376002731,37.693367238821786,38.22496840331414,0,0,0,0,0
1980,32.782531720271464,35.91934837762051,38.506236925699234,31.62072615158069,25.086693235339787,0,0,0,0,0
2000,26.439320888837173,34.032200271266625,29.560788431414863,28.369956867849133,26.12838202095619,0,0,0,0,0
2005,25.861048691868653,36.619232188439426,29.057556584490506,29.255931940407553,27.775404851535875,0.35334874302236163,0.2936174566139244,0.1744364769209816,0.11726170759183306,0.17652376404868164
2009,27.376664764138038,37.95561430936911,29.95542360179499,30.733908212731517,29.7517401165095,0.3157499902546962,0.2560712652067309,0.14286393301420913,0.08501408096688891,0.1330283658697654
2015,33.584489841038746,43.93076653554791,36.051812576630674,36.998776937317935,36.102055350902546,0.30754798055822435,0.24695769006829837,0.13184517820548824,0.09292489121104833,0.14860764185537406
2022,39.18672320131729,49.05999321325283,42.99348521772608,43.31533733452482,42.10947059501543,0.3430308566198138,0.22723994134558007,0.1441895478842,0.08180747551943399,0.1353003144723619
