YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1910,16.522312958838572,37.71091685301891,20.184409597091005,20.251720301327342,18.15649751936635,0,0,0,0,0
1940,31.3763843737947,54.80950820183858,22.724037177392567,27.36968051449017,20.845405324350523,0,0,0,0,0
1950,50.211733358709616,63.1794198290362,30.985329261505797,39.20245827937506,35.96973356665763,0,0,0,0,0
1970,39.63414634146341,37.03007518796993,36.98583376002731,37.693367238821786,38.22496840331414,0,0,0,0,0
1980,32.782531720271464,35.91934837762051,38.506236925699234,31.62072615158069,25.086693235339787,0,0,0,0,0
2000,26.439320888837173,34.032200271266625,29.560788431414863,28.369956867849133,26.12838202095619,0,0,0,0,0
2001,26.172862998818612,37.74677933045628,29.831507652798365,29.35939102249749,27.022723881242246,0,0,0,0,0
2005,25.861048691868653,36.619232188439426,29.057556584490506,29.255931940407553,27.775404851535875,0.35334874302236163,0.2936174566139244,0.1744364769209816,0.11726170759183306,0.17652376404868164
2010,27.460344289887228,37.36925263615054,30.07089619822444,31.183562798454417,30.855083170770374,0.2701162595374596,0.23430317558962518,0.14144454673140902,0.08021230424482764,0.12603214332877485
2011,29.671036057825933,38.47892106726956,31.563627069739788,32.39170656113427,31.65059033116347,0.3049634090278632,0.24078504038550333,0.13296211496876292,0.09366188149646784,0.1455401355306151
2015,33.584489841038746,43.93076653554791,36.051812576630674,36.998776937317935,36.102055350902546,0.30754798055822435,0.24695769006829837,0.13184517820548824,0.09292489121104833,0.14860764185537406
2016,34.53585427471002,44.54647398742344,37.32441523373226,37.75734952938134,36.28984887285501,0.31066130255444707,0.28409392333117106,0.1431099202493029,0.09357320460834384,0.11802409887262752
2019,39.67417882468009,50.0306468008136,40.31663527504901,42.04254328777952,41.279172020182266,0.3548703791701324,0.2508785784684878,0.1295916884249921,0.08811347125104443,0.15826232594307385
2022,39.18672320131729,49.05999321325283,42.99348521772608,43.31533733452482,42.10947059501543,0.3430308566198138,0.22723994134558007,0.1441895478842,0.08180747551943399,0.1353003144723619
2023,37.252263858470926,46.421397465458675,40.039948831532584,41.37463253959321,41.814214911293284,0.32235502972472324,0.19936792062128222,0.14992050406495797,0.08824907384264374,0.14455266743573392
