YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1940,0.27796308650211254,4.645760743321719,0.3842045812554269,0.3931550838969991,0,0,0,0
1950,1.528006589785832,7.422402159244265,0.6191712499572986,0.9167458916202634,0,0,0,0
1960,0.9382886703737446,3.859590750291133,0.64680889751878,1.1403497290646842,0,0,0,0
1970,1.705237515225335,15.294117647058824,1.0273477065547678,1.4020950846091862,0,0,0,0
1980,1.8119337706966574,7.0588235294117645,2.1153267088226437,2.5642312324367724,0,0,0,0
2000,8.447210362544324,11.06353754198457,8.200372211945854,6.2864133402137075,0,0,0,0
2001,8.873952998008773,13.745015381109718,8.310687981910103,7.412872557773906,0,0,0,0
2005,8.928147825319417,11.693877130554304,8.962169962627035,7.90418671924685,0.18797598278201025,0.3959046319819856,0.10521908197307552,0.07915874147088382
2010,9.878703255811827,11.362594115047568,9.863401693718737,8.93201438303863,0.17418067359821804,0.28423498857969937,0.08460051430059279,0.06310429496735608
2011,9.985411451725685,11.229099382690814,10.425303889688001,8.96088991497759,0.1679131924426661,0.33175653082898304,0.10455141922127206,0.07348121224231342
2015,10.807390284916785,14.59850747720838,11.739236021247244,10.157490255424051,0.17438645218784715,0.3474515016527664,0.080745131849719,0.06191531215675739
2016,11.537773722442319,14.1219507317153,12.126924600882342,10.6966483251281,0.19690921254690952,0.28264127856043514,0.09603599233889984,0.06669575361076499
2019,13.998018436094073,19.0890174831559,13.998298946827424,12.7279839270872,0.1809915533038493,0.40797485261475547,0.08698911225927555,0.0721958346373463
2022,16.371643967454467,22.452079055052955,16.793719537996314,14.736425732485719,0.18566466842981613,0.381426994857377,0.10057539438234327,0.07195357946540065
2023,16.814924088387766,22.18870758104365,17.12827943043335,15.344996680609098,0.1644287579581337,0.4255610083133822,0.09139681429260871,0.06937719870465571
