YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1940,0,0.5573825316314587,0.1835457705677868,0.8239327171189126,0.9177061480111199,1.8287266837347824,0.3633336776294604,NA,0,0,0,0,0,0,0,0
1950,6.005823829167678,1.7873542917696927,0.48737538889480364,1.4164144154434861,0.3785090947324151,4.6490988530857456,0.8586814313733154,2.376836646499568,0,0,0,0,0,0,0,0
1960,3.4083395777317405,2.2859226053846777,0.5123956854290787,2.5396967392762893,0.43626017358014074,6.312150771853395,0.9144890312180932,3.2764392733658965,0,0,0,0,0,0,0,0
1970,2.728226652675761,3.949920648915535,0.6314230970214249,3.7542662116040955,0.5843071786310517,6.548770378557613,1.296201409757516,1.6282225237449117,0,0,0,0,0,0,0,0
1980,NA,6.206982855712677,1.2033618527992338,3.7067744498566344,1.516661131407063,NA,2.082387526513601,NA,0,0,0,0,0,0,0,0
2000,6.59527404572077,16.84374133731766,4.199799257416454,8.81420708384062,8.14514878086614,18.382294230927986,6.484433216046161,10.825391860469624,0,0,0,0,0,0,0,0
2005,7.197294190683515,18.764671298846796,4.982342572424475,10.465240242641336,9.568082767395271,22.073943364526333,7.548194552861861,9.06167450399985,0.12094145911554904,0.24374178487730666,0.03436362755216336,0.12414335492029813,0.11919045627553018,0.25120786040925813,0.038364052434035324,0.2248571486768187
2009,7.485141211756037,18.10184390429521,5.338873792752394,13.285358284259006,9.773069136382178,20.771086086881468,7.811791872657433,9.806270582045636,0.09495346812015289,0.2041465976946183,0.03522624814214571,0.14280048752763172,0.09086091245243598,0.1435096537544982,0.02677359522416695,0.22843241638933895
2015,8.197358770538669,20.313021941663337,6.621180058528051,15.590294193668313,12.086285484501808,24.18238771319739,9.485493584021413,11.522247582030191,0.09240324056015142,0.21705795650740692,0.027658777470904512,0.12282374714479775,0.1032310649109819,0.19439590942804336,0.02384687288051884,0.17452337046444774
2019,9.351611657970789,22.774816629113587,8.487444080818927,15.944309697149718,13.68159544397576,28.19783315886192,11.4900001374962,13.628893292116967,0.08987818274808691,0.21247676964144827,0.028947581310003592,0.13231382413873494,0.10409907637271407,0.17935978101988295,0.02873623695526414,0.19502960859320762
2022,10.677634436499686,24.779015845341696,10.292192690718073,18.277924334429656,16.310337079877378,29.07363335260556,13.570711278910048,15.60496608979897,0.08405559973626839,0.19937412356240464,0.03861310866846416,0.15354977523412075,0.12021769053685744,0.16631449020922237,0.029736619496495264,0.18491939189719828
