YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1940,0,0.9245277204228174,0.4392899727089191,1.4182445059322892,1.7526200485523122,2.7724510777903566,0.7751538276442886,NA,0,0,0,0,0,0,0,0
1950,9.211016002977297,1.0075566750629723,0.9143972682340805,2.2123104371097235,0.6981141222669317,6.407904022582922,1.4843799305774692,3.3825338253382533,0,0,0,0,0,0,0,0
1960,5.712922313418591,3.4331573844662286,0.9737611135779267,3.8509333922456643,0.8190999536979366,9.868548794221583,1.697469544401694,5.166147455867082,0,0,0,0,0,0,0,0
1970,5.236139630390143,6.224430157802455,1.3447372324121225,5.454545454545454,1.2829403606102636,11.166253101736972,2.651356993736952,3.389830508474576,0,0,0,0,0,0,0,0
1980,NA,8.847736625514404,2.3844008153631586,6.415542228885557,2.811749914275917,NA,3.910249751435737,NA,0,0,0,0,0,0,0,0
2000,9.512497245331383,22.006270553875336,7.2628523897688835,15.136716758168594,13.697904091732058,26.925427306901724,10.90154071595975,16.815907266268546,0,0,0,0,0,0,0,0
2001,11.391014664592218,23.982873610196794,8.01060116121454,16.441279555318246,13.3587386364467,29.288518714653364,11.768118075259107,11.073714422386988,0,0,0,0,0,0,0,0
2005,10.663984445705779,24.237289438091725,8.456893741547418,17.018098657461348,15.04666406761993,30.734683247872894,12.282276566778826,13.895274544683922,0.18337231937467083,0.32489279680623184,0.05796354920659118,0.18763795059066712,0.18225739830539306,0.3406166377020526,0.06131790910914593,0.33204771562701957
2010,10.605905841201473,23.63097609789832,9.4239293703363,21.716252218555244,16.306723856588583,30.224181747976612,13.127770853628691,14.974921077883728,0.13603656381359602,0.24189065124460019,0.05221313227880972,0.23008990192230686,0.13060952524477046,0.22689742766741466,0.04586950191637224,0.28699691519595066
2011,10.262800509896447,24.666015013536985,9.640557831101868,21.827620810971798,16.33589630489173,31.328284856481748,13.355327862838948,15.730722398130544,0.15267926253375108,0.23995546054097436,0.0557002173753536,0.25334832869012075,0.17567763127007774,0.23951813676012387,0.05193823415795994,0.2856711931057101
2015,11.991399202649248,26.62518843103658,10.896441479566203,23.468455411797652,18.805296532112852,33.44126906178796,14.983312116799388,17.00855487075706,0.1318229172331707,0.2976618729595209,0.04611793548690669,0.20485644796347552,0.16683216182866692,0.25627721727100733,0.039056997692959755,0.2629627729741436
2016,12.032514363629122,26.973473608259994,11.38048241144897,22.958259478430634,18.367177187035097,34.26302223242777,15.347392471616006,18.24613887532459,0.12238892620526745,0.27352297767213335,0.05373089178995709,0.2186605088167028,0.1449618203349038,0.23926171118209785,0.045483697143295275,0.2953090472963027
2019,13.80306869236243,29.504912148731776,13.469668461510958,23.87233081113912,20.471599566691594,38.283779715509404,17.625513849490375,19.655407097367238,0.13895293661256253,0.2882369523981801,0.04775881099555547,0.21914369792369628,0.14234964150778856,0.2341513504945419,0.04444870075168842,0.28257258669576124
2022,16.20453548574329,31.46905185088157,15.837365698409924,27.484181970531395,24.023872422234824,39.51529271558068,20.43776254934731,22.676889803397366,0.12284972899551891,0.2412698581967439,0.06122719215077419,0.20211147426438134,0.16639145155660082,0.21865926994721321,0.04643413668521528,0.2649832541281494
2023,16.179306248919893,32.93170421715953,16.32535889944991,27.925229160627357,24.31376577226857,38.89365440309726,20.888696622214184,23.58363192249384,0.13599043960195858,0.2414457710528429,0.045118504202345304,0.2017819939798903,0.15766002966448697,0.2269408655526073,0.044573939677661,0.32032323522174627
