YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1940,0.6155417573851572,0.772203497503044,0.29709390492478355,0.3633336776294604,0.25393546396259326,0,0,0,0,0
1950,1.7181383210091343,1.3026131380261314,0.813885532557214,0.8586814313733154,0.5114577403751263,0,0,0,0,0
1960,1.5725771396740862,1.1735255770514228,0.7301092290957939,0.9144890312180932,0.8284019036117931,0,0,0,0,0
1970,2.9231147138295257,1.4158066951925496,1.3322662649468036,1.296201409757516,0.9965813068438367,0,0,0,0,0
1980,1.9802875486029479,2.230653769179453,2.4056488921353787,2.082387526513601,1.8072077145069332,0,0,0,0,0
2000,6.973429102525556,8.761518315742876,7.797498045858493,6.484433216046161,4.569019270168354,0,0,0,0,0
2005,7.643201639661462,10.12113934860737,8.655475887477909,7.548194552861861,5.803190211076838,0.1139879496780423,0.12339024237347929,0.06300234515175474,0.038364052434035324,0.044158159553566875
2009,7.322020691273487,9.948427798756429,8.941528527936603,7.811791872657433,6.258800177078342,0.09231728006348597,0.07422391996974285,0.04659337342672096,0.02677359522416695,0.04107367074610449
2015,8.529941831190468,11.858539515588546,10.761534074797217,9.485493584021413,7.694942411729024,0.0967944006059865,0.07280953717574394,0.044813893267690745,0.02384687288051884,0.03938980350030552
2019,10.763849336434522,14.050091985504336,12.606738473327008,11.4900001374962,9.673567196752115,0.09494712354639329,0.09519826130037719,0.05683386346293689,0.02873623695526414,0.046208059082167935
2022,12.867362427930043,15.882834168517325,15.012232511453835,13.570711278910048,11.445672393605829,0.10120077740793892,0.09156844368012636,0.04294257080908979,0.029736619496495264,0.04281768508683923
