YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,0,0,0,40.11550025621015,43.03378159531911,0,38.81330165575984,NA,0,0,0,0,0,0,0,0
1910,14.387464387464387,2.4339783375927952,NA,18.024671041353823,12.973671678345466,3.3255736614566014,16.05746728373684,2.9282576866764276,0,0,0,0,0,0,0,0
1940,2.7027027027027026,3.6612155235538197,NA,16.33099619490686,9.881988835218234,5.6220668518341155,13.539152488431073,1.6859994604801727,0,0,0,0,0,0,0,0
1950,1.390029696088962,0.47975790677934826,0,8.983387193462368,5.6378801001340655,1.9149615234582786,6.8480830657780425,0.40749868764068936,0,0,0,0,0,0,0,0
1960,0.6507946889920858,0.388694650077153,0,5.17194385136056,3.456761492475778,1.5288643452472261,3.7470311112759065,0.18860492948145005,0,0,0,0,0,0,0,0
1970,0.5253940455341506,0.17740981667652278,0,1.637186343068696,2.3255813953488373,0.35056967572305,1.1287583657976226,0.20714655618850336,0,0,0,0,0,0,0,0
1980,NA,0.033647375504710635,NA,0.5952380952380952,0.47005926834253015,NA,0.44844096695083496,0.06280420788192809,0,0,0,0,0,0,0,0
2000,0,0,0,0.3378095424216198,0.7477768795472919,0,0.2881099449090703,0.10560126721520659,0,0,0,0,0,0,0,0
2005,0.04950124616509241,0.1426263100407117,0,0.2580647407154276,0.3624299851165116,0.05245613617892718,0.21307032780378718,0.13698533520264505,0.010735864845874894,0.025581624523134932,0,0.01261029308767877,0.03378583377048492,0.010568399756030987,0.008360491950512045,0.022446835203878687
2009,0.07534303027696851,0.12842404668927565,0,0.26541779516319475,0.3315966384438005,0.12180631140009894,0.21037193291581935,0.08894274235896436,0.013363582932309716,0.02316002695973537,0,0.010299141796994067,0.03002563163549442,0.018360769226331997,0.0071341568136550505,0.012431084806883121
2015,0.07527275802768459,0.14331470818756795,0.13393710215509005,0.22377559455144605,0.3358430954188294,0.08687946818461112,0.18545165813592349,0.08500295626851763,0.012438754956431142,0.02321053772120305,0.02030156690186343,0.009302622633011366,0.028336482753137153,0.014871855934811972,0.005989001813993246,0.011396999346704802
2022,0.2740937365336033,0.2056168609992521,0.3342568837030623,0.38381599153969,0.41452747432812836,0.15144397537324344,0.32755571730157984,0.20696651887300177,0.02424121817507337,0.02804407826717626,0.042180922574655395,0.01235147634216458,0.029737314791246687,0.018634864940309963,0.008109358041351728,0.023162679889571686
