YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,0,0,0,40.11550025621015,43.03378159531911,0,38.81330165575983,NA,0,0,0,0,0,0,0,0
1880,0,5.58734048958524,0,19.750930974094278,21.14838572324093,15.157960607822815,18.96986765417101,NA,0,0,0,0,0,0,0,0
1910,14.387464387464387,2.4339783375927952,NA,18.024671041353823,12.973671678345466,3.3255736614566014,16.05746728373684,2.9282576866764276,0,0,0,0,0,0,0,0
1940,2.7027027027027026,3.6612155235538197,NA,16.33099619490686,9.881988835218234,5.6220668518341155,13.539152488431073,1.6859994604801727,0,0,0,0,0,0,0,0
1950,1.390029696088962,0.47975790677934826,0,8.983387193462368,5.6378801001340655,1.9149615234582786,6.8480830657780425,0.40749868764068936,0,0,0,0,0,0,0,0
1960,0.6507946889920858,0.388694650077153,0,5.17194385136056,3.456761492475778,1.5288643452472261,3.7470311112759065,0.18860492948145005,0,0,0,0,0,0,0,0
1970,0.5253940455341506,0.17740981667652278,0,1.637186343068696,2.3255813953488373,0.35056967572305,1.1287583657976226,0.20714655618850336,0,0,0,0,0,0,0,0
1980,NA,0.033647375504710635,NA,0.5952380952380952,0.47005926834253015,NA,0.44844096695083496,0.06280420788192809,0,0,0,0,0,0,0,0
2000,0,0,0,0.3378095424216198,0.7477768795472919,0,0.2881099449090703,0.10560126721520659,0,0,0,0,0,0,0,0
2001,0.07754141205691725,0.23553900087642418,0,0.345111514254898,0.4284016170820428,0.11003299188889369,0.275381805835785,0.07953314767540806,0,0,0,0,0,0,0,0
2005,0.04950124616509241,0.1426263100407117,0,0.2580647407154276,0.3624299851165116,0.05245613617892718,0.21307032780378718,0.13698533520264505,0.010735864845874894,0.025581624523134932,0,0.01261029308767877,0.03378583377048492,0.010568399756030987,0.008360491950512045,0.022446835203878687
2010,0.10853045964675448,0.09926444751575347,0.016222249139139312,0.20784062622841146,0.5317589866164995,0.01964712107304467,0.1791761992944066,0.07386442910056484,0.016485303956907026,0.024197973481000324,0.00842514989056681,0.007441469833551145,0.0374192912367898,0.0067418632620832725,0.005716132423950862,0.009580839007301953
2011,0.0729685227234541,0.15979722283447212,0.07959608720146133,0.23018616676953563,0.33902299185664586,0.04631740891844769,0.18030935194798153,0.03555179320726935,0.013147326859953257,0.026180117877690794,0.023913980796124702,0.008118191366024236,0.03948172743088607,0.011313561362941028,0.005329583047935966,0.006667038861891259
2015,0.07527275802768459,0.14331470818756795,0.13393710215509005,0.22377559455144605,0.3358430954188294,0.08687946818461112,0.18545165813592349,0.08500295626851763,0.012438754956431142,0.02321053772120305,0.02030156690186343,0.009302622633011366,0.028336482753137153,0.014871855934811972,0.005989001813993246,0.011396999346704802
2016,0.1035843584222574,0.07948328248180836,0.043341001801252034,0.21903453595685213,0.2586849822141873,0.10475922987516492,0.17849441340289296,0.11161622997041361,0.015733270507528152,0.011537452509953448,0.015690376947490974,0.00945000673403862,0.027063886831875956,0.016610065679201636,0.006449989684867874,0.014858516925873262
2019,0.14857732208942548,0.11092604159437389,0.11039967993117317,0.2470841336041705,0.4016413671366844,0.1476163765403875,0.22121111458518092,0.1736526827607907,0.015423369546735668,0.015999236560028666,0.027835689276373213,0.008337648747638062,0.043037368374420584,0.024002837975910307,0.006455963284593832,0.013502608212792701
2022,0.2740937365336033,0.2056168609992521,0.3342568837030623,0.38381599153969,0.41452747432812836,0.15144397537324344,0.32755571730157984,0.20696651887300177,0.02424121817507337,0.02804407826717626,0.042180922574655395,0.01235147634216458,0.029737314791246687,0.018634864940309963,0.008109358041351728,0.023162679889571686
2023,0.18051970905678086,0.2888200175503558,0.2937532666137556,0.3153670209664591,0.4030579312823165,0.22432785922312623,0.2916988570314587,0.24742707250896787,0.018500471903985845,0.03502298792454748,0.044614687379472044,0.01054078399346132,0.027379151238384747,0.023036159864261083,0.007607626899015628,0.025278132182716736
