YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican
1850,100,79.58109085067076,55.01406232422095,17.98146865360903,13.490709231219844,72.39629164047768,19.33243062067493,NA
1880,72.9786961617634,46.74914886067865,9.432172006558947,29.249859516856528,10.843039166738562,49.9498476518413,27.42938976894034,0
1910,65.55517359917498,48.673410956289366,100,38.8540658512663,20.334311030574796,41.42200763180438,35.80355320085694,1.381158524015667
1920,65.54347987652912,36.79597880448876,58.59479497076471,50.64589648779278,34.03219096286299,40.998099060322,46.872145001696715,3.1607784447411853
1940,59.46477764659583,38.013488657265484,NA,24.33205098493627,23.463120087449898,48.50305658602853,24.842040520070984,2.06483883302502
1960,49.7833137997765,48.56809548024289,61.1597790896972,15.120221377586985,20.13810558749897,42.49558980372731,15.595695970300849,1.0758776896942241
1980,NA,77.909796314258,NA,26.594316656428457,41.549701980388384,NA,29.536283474409316,3.568188690656184
2000,77.2141807556539,69.60491531963609,69.95787782730523,42.0582897224398,28.592640885901044,77.89050827329416,40.864895298913204,1.9863010869558804
2005,69.62351964459592,62.453601241083476,60.71092734707103,41.19265458365336,19.70794494345232,72.91738905074264,40.95178487241732,1.6760673093747827
2010,64.40098049812357,59.707931465242865,58.71873881754205,36.293043412982684,15.532092455538045,66.88194433200019,38.019523918692784,1.9938575953901854
2015,60.529438084704196,57.2784171495629,56.39599847158635,33.16020046259437,17.741364253299103,63.15825842532135,35.5441600359029,2.7944301302169587
2022,57.422897248533616,54.80009388617322,54.58863484525395,29.561831564665535,16.85112785086235,62.700624018318315,33.44381672800443,3.2184969947829782
