YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1850,299.41,2221.96,8141.73,21981.31,11318.210000000001,0,0,0,0,0
1880,3966.27,10226.57,46804.4,94598.26,33601.02,0,0,0,0,0
1910,17744,16959,152080,291128,104345,0,0,0,0,0
1940,42885,77125,181631,531428,229787,0,0,0,0,0
1950,50783,96977,235392,645225,262073,0,0,0,0,0
1960,72872,147436,299292,903631,384031,0,0,0,0,0
1970,163900,425600,585400,1886500,711600,0,0,0,0,0
1980,339100,749100,1290700,4347800,1933300,0,0,0,0,0
2000,1168763,1819612,4657095,13709263,6063793,0,0,0,0,0
2001,1261230,1935079,5046520,14488417,6245588,0,0,0,0,0
2005,1509061,2306269,6171590,17169569,7182649,12482.548891745233,15512.843651453153,15996.302808576453,36074.904969163494,23454.323183583874
2010,1680212,2735428,7370785,19287141,7500716,8876.422712485466,9776.194931779213,17180.122729774856,24036.738015582454,17088.016530653837
2011,1691006,2675088,7410533,19260782,7484155,7335.7517039405775,11179.737389524593,16037.426740778048,27863.640366075644,17251.05878753478
2015,1700666,2896865,7886039,20074196,7590626,7658.1882739897055,10686.21675082298,19317.034724051762,26866.823962329167,16976.18676859952
2016,1700899,2958838,8005891,20258382,7592754,9501.002296193727,12653.906050247133,17956.11427771254,30604.40592618616,15980.470172559879
2019,1668584,3032946,8470809,20581512,7409173,9113.055147221346,13399.334419134077,18684.046760979156,27880.858725853137,16985.953868829947
2022,1756327,3309391,8779331,21253284,7408235,9259.511024345094,12975.976607620676,16811.707036831413,29824.02565322795,16662.704005754473
2023,1925016,3419917,9468887,22351854,7538034,9683.38314590901,11209.8313522923,19834.056852028374,30484.781429998973,17946.88837875771
