YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1850,103.81,73.89,4427.74,10538.65,0,0,0,0
1880,981.53,1025.3899999999999,41678.61,29614.46,0,0,0,0
1910,13725,1606,134025,89912,0,0,0,0
1940,30902,6410,154576,201835,0,0,0,0
1950,34704,6156,204042,223847,0,0,0,0
1960,52353,11059,222068,323051,0,0,0,0
1970,88600,9600,236900,531400,0,0,0,0
1980,228600,23100,572700,1487900,0,0,0,0
2000,973270,324831,2662166,4994790,0,0,0,0
2001,1028571,296750,2874450,5084683,0,0,0,0
2005,1232659,375345,3505524,5919623,11672.07620806864,7141.680440379561,14771.421153893629,24097.261720637707
2010,1354874,499003,3978481,6113854,9254.564514267226,7514.008692113566,15369.709981363805,17560.600489556087
2011,1339296,483568,3994849,6079077,8238.49682390928,7256.5180302878325,14496.199369297816,19397.964785568405
2015,1307726,455237,4013874,6080552,7750.575942013044,6963.6299972846255,16310.803202987347,16969.60444014719
2016,1305026,473783,4018406,6064502,8709.869858339382,7940.6353151014755,14335.659438214938,14491.012483512328
2019,1201870,427270,3858709,5778841,8889.295490223058,6561.133206853037,15623.846859276375,17470.585800749806
2022,1215194,436351,3749261,5645874,8607.727842686816,6841.384286555544,15783.314985619618,15225.13159700771
2023,1284329,456611,3958340,5658461,9126.803926805618,5933.290841085161,16640.377074293825,16575.647707737175
