YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,100,79.58109085067076,55.01406232422095,17.98146865360903,13.490709231219844,72.39629164047768,19.33243062067493,NA,0,0,0,0,0,0,0,0
1910,65.55517359917498,48.673410956289366,100,38.8540658512663,20.334311030574796,41.42200763180438,35.80355320085694,1.381158524015667,0,0,0,0,0,0,0,0
1940,59.46477764659583,38.013488657265484,NA,24.33205098493627,23.463120087449898,48.50305658602853,24.842040520070984,2.06483883302502,0,0,0,0,0,0,0,0
1950,57.02436391981292,39.927987067065104,80.11494252873563,19.608573465808597,22.32403225923744,51.641611681745005,19.936623454829522,1.501768284057151,0,0,0,0,0,0,0,0
1960,49.7833137997765,48.56809548024289,61.1597790896972,15.120221377586985,20.13810558749897,42.49558980372731,15.595695970300849,1.0758776896942241,0,0,0,0,0,0,0,0
1970,59.551656920077974,79.42214009742986,70.6832298136646,17.464124475975492,65.93317033414833,69.77459016393442,24.201411161000642,1.0282776349614395,0,0,0,0,0,0,0,0
1980,NA,77.909796314258,NA,26.594316656428457,41.549701980388384,NA,29.536283474409316,3.568188690656184,0,0,0,0,0,0,0,0
2000,73.99441711712632,64.31710234182557,63.734650309882795,41.466116795346636,20.162908068166388,72.60166427069225,40.0097972363155,2.1901098807112684,0,0,0,0,0,0,0,0
2005,69.62351964459592,62.453601241083476,60.71092734707103,41.19265458365336,19.70794494345232,72.91738905074264,40.95178487241732,1.6760673093747827,0.22181420056045967,0.34397588453020855,0.3864056808372296,0.09087736212024786,0.1797286129854608,0.26403861915380233,0.0660329968660883,0.04936899715067489
2009,66.03196088291685,59.69366034684866,59.5853951117109,36.75168988782492,13.849136888717323,67.83599499162032,38.24481659523476,1.624216498126305,0.17652941062796912,0.3126525752444019,0.31740902765650364,0.061959684335459494,0.18348633058085226,0.2003994542295875,0.04647566879739201,0.051849868034378514
2015,60.529438084704196,57.2784171495629,56.39599847158635,33.16020046259437,17.741364253299103,63.15825842532135,35.5441600359029,2.7944301302169587,0.1708914174784853,0.28236491600208646,0.30715401003003734,0.05806365450896119,0.17957805784710493,0.20332331909137358,0.04726408876769648,0.05707514332811337
2019,59.83689310823957,57.34816877236084,56.49761590572566,30.298304657391963,17.765126697158838,64.25569604867938,34.02759011577409,2.9408550111288863,0.1551655820393237,0.24571755835816092,0.27449310063587457,0.06326908660833613,0.18699966969638354,0.21569782390115688,0.04618932991412398,0.06395178174486131
2022,57.422897248533616,54.80009388617322,54.58863484525395,29.561831564665535,16.85112785086235,62.700624018318315,33.44381672800443,3.2184969947829782,0.1690569976180309,0.26462279612686246,0.25651709953398283,0.05947897995111599,0.13829595139580517,0.2119024699038331,0.04701898961020336,0.06484515644046199
