YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,110.54,1981.4099999999999,489.02,15144.09,3334.79,921.46,21981.31,NA,0,0,0,0,0,0,0,0
1880,740.96,6904.12,102.39,73299.99,6947.57,6603.23,94598.26,0,0,0,0,0,0,0,0,0
1910,1907,17850,100,239268,26483,5319,291128,201,0,0,0,0,0,0,0,0
1940,15010,20460,NA,393723,63105,37132,531428,1998,0,0,0,0,0,0,0,0
1950,28163,32356,4714,468749,61012,45469,645225,4762,0,0,0,0,0,0,0,0
1960,54795,81184,12846,608531,51240,84072,903631,10963,0,0,0,0,0,0,0,0
1970,122200,472800,56900,866500,80900,272400,1886500,14800,0,0,0,0,0,0,0,0
1980,NA,642600,NA,2337800,1296600,NA,4347800,70800,0,0,0,0,0,0,0,0
2000,1593637,767386,523953,8955057,672732,1117116,13709263,79382,0,0,0,0,0,0,0,0
2001,1647725,897062,593879,9284454,684890,1314892,14488417,65515,0,0,0,0,0,0,0,0
2005,2168687,913442,689528,11033151,669296,1631862,17169569,63603,18953.273438106153,8319.350445676313,7846.919623702949,35139.52746290561,7036.482510027581,13780.54741226362,36074.904969163494,1868.0770928105574
2010,2818279,1124658,886101,11946212,353247,2065281,19287141,93363,15470.397797160014,9033.441428611002,8582.220865303714,22918.38226611053,5762.854685039879,14233.278430880953,24036.738015582454,2098.681765878376
2011,2862928,1105271,891793,11896790,390271,2031607,19260782,82122,15547.822672867425,7700.118431441678,9332.502010896438,25353.18469236038,6176.185073799423,14077.636832192891,27863.640366075644,1875.6154620263733
2015,3161481,1211942,1052342,11857389,483906,2157044,20074196,150092,17081.03089985785,8573.766105969617,9180.051126102082,25116.565147451412,5606.66994780674,13658.324356865367,26866.823962329167,3192.165069809422
2016,3215268,1295640,1093310,11861717,475931,2177417,20258382,139099,16664.462486323093,9487.89296129213,9496.416328865287,24044.816657330783,5409.094397620864,14370.267236747477,30604.40592618616,3045.944806109771
2019,3547213,1366007,1178251,11266690,566688,2484726,20581512,171937,17595.800987155675,8258.025285903803,11212.538527938548,28698.331209797117,7020.727379178967,14720.441188734154,27880.858725853137,3766.42824035122
2022,3747362,1342479,1312242,11046680,712129,2900924,21253284,191468,18676.12185470114,9344.774166630057,12671.7803950003,23841.654754502913,6917.333922914781,16723.90512144918,29824.02565322795,3941.8149870645675
2023,4067504,1461963,1279024,11357741,741510,3240196,22351854,203916,19687.716886472608,11017.815142569001,11561.180035029876,25059.88328503019,6464.069449498747,16885.292500619802,30484.781429998973,4280.377247659192
