YEAR,Black,White,Black_se,White_se
1850,4274.829999999998,2225633.269999826,0,0
1880,16712.879999999986,6541071.440000073,0,0
1910,42684,13124314,0,0
1940,170666,11686415,0,0
1950,90153,9706303,0,0
1960,125439,8772642,0,0
1970,269700,7762100,0,0
1980,807100,7804500,0,0
2000,2130463,8456530,0,0
2001,2290657,8582158,0,0
2005,2694964,8726697,17140.427216346172,25272.04972038205
2010,3238005,8885440,12747.330671953507,23257.19591307349
2011,3351765,9036484,16403.575031761415,24792.4646817545
2015,3831076,9343245,18670.436802904052,21620.32819877225
2016,3938493,9440884,15942.19847742685,24484.47648529289
2019,4326913,9354378,18181.46752705462,23095.9501161233
2022,4510188,9041295,18611.49468684557,21831.902790469998
2023,4662874,9235997,19386.82531436285,20853.892342128565
