YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1850,6.333958105037804,29.24963206933683,31.672723014758283,19.33243062067493,14.956867325216752,0,0,0,0,0
1910,47.18270534740873,33.54232594936709,39.96741215736775,35.80355320085694,30.302194291821063,0,0,0,0,0
1940,28.81824046447867,27.254760098113607,23.46150567191016,24.842040520070984,24.620703990536885,0,0,0,0,0
1950,21.951292741091496,18.104660847884883,20.61719170822401,19.936623454829522,19.745053718265105,0,0,0,0,0
1960,18.953687375479227,12.855398995535714,16.498443823860484,15.595695970300849,15.683126767016963,0,0,0,0,0
1970,37.14868540344515,24.693936756599943,25.515407749640413,24.201411161000642,21.33093525179856,0,0,0,0,0
1980,27.470836033700582,28.718754792209783,28.94919816081642,29.536283474409316,30.868100461432835,0,0,0,0,0
2000,39.3918538383838,35.42167201803698,40.90003714915782,40.0097972363155,41.0430780218727,0,0,0,0,0
2005,40.22481805602832,39.461568128627654,43.04198141288622,40.95178487241732,39.921665673532196,0.2462858650359769,0.20067565446423347,0.10344434529113876,0.0660329968660883,0.10216597689992091
2009,37.06595704552745,38.15883994090788,40.11865495639328,38.24481659523476,36.93087930738087,0.1720392658352062,0.17109259633826734,0.0783692794861042,0.04647566879739201,0.08156952861405688
2015,32.929039183571206,36.7069435490084,37.81611437078608,35.5441600359029,33.63652304317275,0.1484523249026833,0.13347036523799535,0.09120270989793357,0.04726408876769648,0.07554625766410575
2019,30.232757867821825,36.463284557662305,36.80382247010268,34.02759011577409,31.35264615190483,0.16369298139557822,0.16038329128839,0.0808835306377527,0.04618932991412398,0.07209602777659159
2022,29.711957631464045,37.254248384995684,35.84749737227621,33.44381672800443,30.53179230154233,0.1583202089601531,0.14631248467238442,0.06868569699802057,0.04701898961020336,0.06850884836021141
