YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1940,800,4000,300,430,NA,NA,NA,NA
1960,8750,13750,6250,11250,NA,NA,NA,NA
1970,11250,22500,8750,16250,NA,NA,NA,NA
1980,32500,47500,23750,57500,NA,NA,NA,NA
2000,112500,137500,55000,137500,NA,NA,NA,NA
2001,112500,137500,65000,137500,NA,NA,NA,NA
2005,137500,275000,75000,275000,0,9559.109910367231,0,0
2010,130000,275000,90000,200000,0,12004.324115432506,0,223.60679774997897
2011,120000,200000,90000,180000,1694.1821521185266,4980.579372530464,265.0531353464094,0
2015,120000,240000,99000,235000,1475.0563173114801,10878.9004354091,1078.8531181921437,3068.804863646309
2016,125000,230000,100000,250000,2011.0061087973486,11226.3746303859,0,0
2019,150000,275000,130000,300000,0,10805.171933214628,0,0
2022,200000,325000,198000,440000,0,12105.443905611175,2501.8663919238325,5566.04477437792
2023,200000,350000,200000,450000,0,8807.038324580682,0,0
