YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1940,2000,4000,450,600,500,NA,NA,NA,NA,NA
1960,11250,16250,6250,8750,11250,NA,NA,NA,NA,NA
1970,16250,22500,8750,13750,16250,NA,NA,NA,NA,NA
1980,37500,47500,32500,47500,62500,NA,NA,NA,NA,NA
2000,112500,162500,75000,112500,137500,NA,NA,NA,NA,NA
2001,112500,162500,75000,112500,137500,NA,NA,NA,NA,NA
2005,162500,350000,112500,187500,275000,7108.72836640575,0,0,2795.084971874737,0
2010,140000,300000,116000,150000,200000,1410.5726460815188,0,1330.984217540453,0,0
2011,128000,270000,105000,150000,192000,2029.489865440094,2777.3667065738387,1495.7746394934961,426.7554957637417,3003.795067930997
2015,130000,265000,125000,170000,250000,1358.5174346518945,4050.2383114758613,0,0,0
2016,130000,275000,135000,180000,250000,1377.4288099870273,2353.42465248767,864.104863537912,0,0
2019,150000,300000,173000,223000,320000,0,111.80339887498948,2054.7875556208182,2086.575536220635,1629.1937122081997
2022,200000,374000,250000,300000,450000,0,3326.1526031197827,0,0,0
2023,205000,400000,260000,320000,450000,4670.791953015509,3614.295631432549,559.0169943749474,0,1155.8875158799356
