YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican
1910,16.611295681063122,7.998402981101943,39.95434321787137,34.88488875154512,6.90010298661174,43.99680893498205,37.150959211942144,NA
1920,30.905636478784032,14.68121396653556,28.249639297850347,34.43306475867859,13.635528819920424,23.486034216643912,28.31458147322528,0
1940,30.158730158730158,27.001715756362596,36.33343688770912,37.35345057287503,8.015675097969362,24.725274725274726,34.18801886686759,NA
1960,39.80650126433833,35.79854153324932,53.524486176870155,61.18207816968541,12.013652444677252,42.11879085880315,44.8150283616342,15.378670788253478
1980,NA,43.845618915159946,49.62565397799026,45.52757273122015,21.264660887302398,NA,44.11478962708318,NA
2000,31.52597800924762,57.65613290032476,48.4162193659611,50.747233440699226,34.35616096232216,41.26257524579149,45.634890920433804,20.15060001423124
2005,38.957135374396344,60.73894871771726,50.01047227646114,58.11651915728401,38.549773558852365,46.54817641488187,48.230576526671136,25.403115760745962
2010,37.989302685179744,57.3407085645886,49.51812930058245,59.49595380668381,37.86493125107633,48.134044915369785,47.31541626252646,24.19539924683043
2015,37.1986393861665,52.42388587384872,47.85206900566699,55.113484895962436,36.06315577354972,46.8212476842239,45.290424888087536,24.133857612680313
2022,42.24068635114294,56.47240049129167,53.9597515251164,60.42363408321871,44.985672654381354,49.23927899452528,51.102280912122936,31.16856880560336
