YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1910,35.96806387225549,12.468827930174564,25.970516368108484,54.02697737229716,0,0,0,0
1940,23.210244192972006,16.348773841961854,35.05914276134707,38.92472874457206,0,0,0,0
1960,41.52161271564257,40.45483664317745,56.70013736650573,52.963773141973,0,0,0,0
1970,49.4279176201373,40.90909090909091,59.19434998692127,51.74288901282766,0,0,0,0
1980,45.378151260504204,35.039370078740156,56.350232798758405,45.99092284417549,0,0,0,0
2000,49.68650525706569,22.82982791586998,49.70457902511078,43.95983239927161,0,0,0,0
2001,49.24511763618824,30.12899922369225,52.27595926075733,45.49773162827746,0,0,0,0
2005,53.63643220042647,23.42834610184768,53.04174701098254,48.44566886930252,0.3704164158460954,0.6384696115673838,0.2107908111095302,0.15633797693198373
2010,53.70198483015967,21.64172636930899,54.67695975556797,46.37026231834442,0.32987835976726576,0.5345733147205232,0.17779978949852515,0.14941691351714234
2011,52.389764731623615,22.550614260017603,53.783351490757475,45.60726630469196,0.34103102489451187,0.5418476331805488,0.18343845224855856,0.1382302181285932
2015,49.702517873795465,21.856952465570856,53.75789994405892,44.44517134460643,0.3515205347524063,0.66141996858738,0.17326398979831034,0.15478184015823823
2016,51.040663216157526,21.914716812404826,53.720602313474046,45.12205351338593,0.3734764499659995,0.6804679692921812,0.18021166150296677,0.14601301817835313
2019,55.44944000951433,27.44840807275061,56.65939839296752,47.57490818312071,0.2994198476356081,0.5781680743333957,0.14566757207629552,0.15374501463098686
2022,59.29648285411172,28.132404681553815,59.21296238994645,50.26030530657691,0.347836374489169,0.5876677384147548,0.17386672085421936,0.12894360976848002
2023,60.22145826018079,30.078083217456413,59.78830278831265,50.59234879822685,0.3199341269391437,0.6289195469921458,0.15221796102606594,0.1285108864299544
