YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1910,16.611295681063122,7.998402981101943,39.95434321787137,34.88488875154512,6.90010298661174,43.99680893498205,37.150959211942144,NA,0,0,0,0,0,0,0,0
1940,30.158730158730158,27.001715756362596,36.33343688770912,37.35345057287503,8.015675097969362,24.725274725274726,34.18801886686759,NA,0,0,0,0,0,0,0,0
1960,39.80650126433833,35.79854153324932,53.524486176870155,61.18207816968541,12.013652444677252,42.11879085880315,44.8150283616342,15.378670788253478,0,0,0,0,0,0,0,0
1970,35.47794117647059,31.671732522796354,54.09550365981178,57.06521739130435,16.66211417645452,35.08771929824562,42.983565107458915,18.357487922705314,0,0,0,0,0,0,0,0
1980,NA,43.845618915159946,49.62565397799026,45.52757273122015,21.264660887302398,NA,44.11478962708318,NA,0,0,0,0,0,0,0,0
2000,34.560813581563195,59.52740612861459,46.024921596545596,56.91693613581245,32.81119373432481,42.35873287671233,44.61611369303097,19.971498371335503,0,0,0,0,0,0,0,0
2005,38.957135374396344,60.73894871771726,50.01047227646114,58.11651915728401,38.549773558852365,46.54817641488187,48.230576526671136,25.403115760745962,0.40031633071123507,0.5097009320189804,0.11776747891329517,0.32212832329454616,0.2915305338308449,0.4054354782655613,0.09625661223878514,0.5428747358122856
2009,40.52109178824261,58.72638199070246,49.85811788343015,60.28861300490031,38.7590315238203,49.501394896853625,48.13723453602416,26.487130454345582,0.269391208457953,0.38901953771608777,0.10687335025861862,0.29249386875081906,0.2650226286546941,0.3634180562344796,0.08296522236453345,0.4544170243617975
2015,37.1986393861665,52.42388587384872,47.85206900566699,55.113484895962436,36.06315577354972,46.8212476842239,45.290424888087536,24.133857612680313,0.26010964990521784,0.3936390598906829,0.10702541472207641,0.3281020557893432,0.24795888046039227,0.2948819776007137,0.08117020787462412,0.32968867540802993
2022,42.24068635114294,56.47240049129167,53.9597515251164,60.42363408321871,44.985672654381354,49.23927899452528,51.102280912122936,31.16856880560336,0.25005612087722817,0.30506428704736516,0.10003709938239544,0.27436453498860736,0.2569559993342435,0.25921883322202727,0.07491590828298096,0.42355139294756944
