YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1910,16.611295681063122,7.998402981101943,39.95434321787137,34.88488875154512,6.90010298661174,43.99680893498205,37.150959211942144,NA,0,0,0,0,0,0,0,0
1940,30.158730158730158,27.001715756362596,36.33343688770912,37.35345057287503,8.015675097969362,24.725274725274726,34.18801886686759,NA,0,0,0,0,0,0,0,0
1960,39.80650126433833,35.79854153324932,53.524486176870155,61.18207816968541,12.013652444677252,42.11879085880315,44.8150283616342,15.378670788253478,0,0,0,0,0,0,0,0
1970,35.47794117647059,31.671732522796354,54.09550365981178,57.06521739130435,16.66211417645452,35.08771929824562,42.983565107458915,18.357487922705314,0,0,0,0,0,0,0,0
1980,NA,43.845618915159946,49.62565397799026,45.52757273122015,21.264660887302398,NA,44.11478962708318,NA,0,0,0,0,0,0,0,0
2000,34.560813581563195,59.52740612861459,46.024921596545596,56.91693613581245,32.81119373432481,42.35873287671233,44.61611369303097,19.971498371335503,0,0,0,0,0,0,0,0
2001,31.522283115743686,58.72468107897556,47.92974415981024,53.649606404772996,34.99039478094944,43.1435579375027,45.43383004361857,23.534262360015845,0,0,0,0,0,0,0,0
2005,38.957135374396344,60.73894871771726,50.01047227646114,58.11651915728401,38.549773558852365,46.54817641488187,48.230576526671136,25.403115760745962,0.40031633071123507,0.5097009320189804,0.11776747891329517,0.32212832329454616,0.2915305338308449,0.4054354782655613,0.09625661223878514,0.5428747358122856
2010,37.989302685179744,57.3407085645886,49.51812930058245,59.49595380668381,37.86493125107633,48.134044915369785,47.31541626252646,24.19539924683043,0.2847269299754203,0.3405124545020611,0.10154678137834372,0.3378084070935423,0.2532244317316877,0.31840960539451263,0.0845458562834388,0.411908264895798
2011,37.17617221692108,56.30968347956557,48.71347233857895,57.411002888858775,37.47683925503039,47.809552363212646,46.46596836612966,25.149151819538776,0.2606932583220818,0.38657960124818125,0.11095083533495823,0.4402112775333106,0.20560182705875377,0.3266720404676567,0.07910390406904214,0.43197775499237845
2015,37.1986393861665,52.42388587384872,47.85206900566699,55.113484895962436,36.06315577354972,46.8212476842239,45.290424888087536,24.133857612680313,0.26010964990521784,0.3936390598906829,0.10702541472207641,0.3281020557893432,0.24795888046039227,0.2948819776007137,0.08117020787462412,0.32968867540802993
2016,35.51873322659456,51.05177278171193,48.31871326383851,55.44052502419233,36.887765078961195,47.76791545867615,45.5972233767906,25.868618937341367,0.2969732912352831,0.33717275413844544,0.10123777644589119,0.3391612429258895,0.2328276796846758,0.3149662221159522,0.08997564612714848,0.44550701906242757
2019,38.6172179399699,53.60012836112263,51.22175900079715,55.30017842234051,40.23813352559235,49.119480964063605,48.106636236264144,27.432548227266548,0.2684871776371975,0.35330923426559435,0.08559095080608806,0.3583050766539327,0.23681969373430584,0.29369378173318533,0.07163593546028525,0.3897611047579692
2022,42.24068635114294,56.47240049129167,53.9597515251164,60.42363408321871,44.985672654381354,49.23927899452528,51.102280912122936,31.16856880560336,0.25005612087722817,0.30506428704736516,0.10003709938239544,0.27436453498860736,0.2569559993342435,0.25921883322202727,0.07491590828298096,0.42355139294756944
2023,39.55083314680225,55.94541745856633,54.51549718487529,59.43287226842148,44.80856387806336,48.661987447898284,51.008833134804554,33.281357777032454,0.25708501805573797,0.348754684706528,0.08765233748108331,0.29065240839829576,0.20841742261740734,0.24463941290956293,0.07249688103001406,0.340876644907488
