YEAR,Midwest,Northeast,South,Total,West
1910,37.503895294484266,26.00418618558756,26.1993690851735,37.150959211942144,50.631637015584054
1920,22.784053741661566,21.04333851809877,20.52848821975222,28.31458147322528,37.77475232514752
1940,30.36706349206349,13.233704591381175,36.10103885564866,34.18801886686759,40.05869778258463
1960,39.56545445924802,15.896067061426384,56.277890014752394,44.8150283616342,52.98563327235747
1980,45.01956063797773,20.368722186904005,54.543197616683216,44.11478962708318,47.2876213592233
2000,48.09664217437197,24.90657649281829,53.23502506609761,45.634890920433804,46.93068876648372
2005,52.65603105407186,29.831494379525083,54.17885068922364,48.230576526671136,48.95451994462647
2010,52.06183718121929,29.008685193560485,54.2605267507316,47.31541626252646,46.75328489013741
2015,49.03971774178726,29.18622242457721,51.59750971723684,45.290424888087536,44.5233051442305
2022,55.87964138647466,35.255215554426876,56.97410678068912,51.102280912122936,49.99768085651526
