YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1980,16700,11670,12007.5,14740,NA,NA,NA,NA
2000,40000,41000,28800,32000,NA,NA,NA,NA
2001,37000,36000,30000,34200,NA,NA,NA,NA
2005,36400,36000,30000,38000,382.6041429748495,1006.3043050838944,17.88854381999832,89.02225489779855
2010,39000,42700,35000,41000,392.86836701046366,749.0111519171144,45.17459098747963,102.7285195755162
2011,38000,39800,35000,40000,234.60591788968316,466.99524297579876,86.5568518812632,12.82550860145811
2015,44000,42500,41100,46600,595.3998762665541,725.4633504077309,230.81415478829047,236.93183204874495
2016,46800,45800,42200,49600,391.43275850442024,625.8721004134545,223.28725751168292,266.4401751432763
2019,54000,64100,50000,60000,341.74697780001367,994.8951983481489,44.721359549995796,17.355187456365016
2022,64000,66200,57400,69820,578.4492581927973,1045.7675698388157,338.1084529398327,282.19188978109884
2023,70000,75000,61300,75000,285.85868864426305,863.950889368433,326.0241652533044,287.1668405366425
