YEAR,Cuban,Mexican,Other Latino,Puerto Rican,Total,Central American,Dominican,South American,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,Total_se,Central American_se,Dominican_se,South American_se
1980,16005,13970,14410,10005,13505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,35150,31500,34000,32000,32800,34800,29300,40300,NA,NA,NA,NA,NA,NA,NA,NA
2001,36000,33000,35000,31200,33500,35000,29000,38800,NA,NA,NA,NA,NA,NA,NA,NA
2005,37700,35000,38600,33800,35500,37500,29230,43000,647.2316197623948,22.360679774997898,388.2235749482116,332.1796067479768,127.0293497432878,371.6180835212409,552.1387644332477,450.4726069587952
2010,40000,38700,44000,36000,40000,42000,34000,50100,353.9805293937414,159.69705299152272,456.20918405952017,267.3851048652439,75.42118025050885,171.93978928462286,471.35302150943716,329.6315549599529
2011,38600,38000,41000,36000,39000,39000,32300,50000,414.1374290336268,11.180339887498949,486.4684093454983,172.48720370809534,116.05589825160693,350.5669007461118,471.57947301286197,89.34988471584155
2015,44400,44200,48800,40500,44800,44100,36800,55200,351.78301352907147,161.53613852829625,433.3884560039277,306.32362199543974,139.24928697860767,368.6581681404996,444.805041741017,434.1148421818029
2016,45800,46010,48900,42000,46300,45000,40000,57300,538.9496935261201,176.59776938539946,485.40604886886297,236.03311154758657,189.80936472342154,139.38722132374414,455.61474329064185,408.18428994384635
2019,55000,55400,56000,50000,55000,54000,46700,65000,474.3997539863174,194.69401504327473,420.86739846251766,130.52935069326386,47.13299255661338,365.8421661131055,702.7365023763543,464.38183696859755
2022,63900,64000,65000,58000,63200,62500,54300,72000,705.346119812236,73.0890518044316,217.07633697837582,376.3367735002887,211.60612443578796,441.4800875707974,662.5665001255403,391.8804745443616
2023,67300,69600,69000,60000,68400,67500,58000,80000,799.3429263614275,273.9878958797406,632.1399760868542,0,208.4936556118189,471.5145943215627,813.8932455733205,208.10898891163444
