YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1980,16010,10930,12960,13505,14880,NA,NA,NA,NA,NA
2000,39800,32000,31200,32800,32700,NA,NA,NA,NA,NA
2001,37000,32000,31060,33500,35000,NA,NA,NA,NA,NA
2005,36700,35000,33000,35500,38100,355.049024739337,150.6962218034108,87.59940104413465,127.0293497432878,193.68640810223172
2010,39000,39000,37814,40000,42000,362.555080930968,178.17814830008075,148.8689424470949,75.42118025050885,129.56011263043163
2011,38000,38000,36600,39000,40900,181.14330119996228,154.82861083849204,184.9765209185729,116.05589825160693,173.45611928224295
2015,44500,42000,43000,44800,47100,457.34954640289817,199.03501377612122,86.75259453311958,139.24928697860767,203.87849291530904
2016,46800,44400,44300,46300,50000,365.970186238155,350.86547604243,247.32330318323898,189.80936472342154,191.87928035055816
2019,52170,53800,51900,55000,60000,483.12732223883893,395.36587765662057,188.49634015854141,47.13299255661338,0
2022,61800,60000,60000,63200,70000,441.54273199455474,34.01321411124234,0,211.60612443578796,147.29711427389785
2023,67000,64800,64830,68400,74500,430.1998358137497,296.38302172968724,236.0939726550651,208.4936556118189,314.91286216903507
