YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,110.54,2489.7999999999993,888.9000000000001,84220.53999999861,24719.15999999997,1272.8,113701.73999999874,NA,0,0,0,0,0,0,0,0
1910,2909,36673,100,615812,130238,12841,813126,14553,0,0,0,0,0,0,0,0
1940,25410,53823,NA,1618125,268954,76556,2139631,96763,0,0,0,0,0,0,0,0
1950,50033,81652,6090,2413633,275022,88206,3268086,353450,0,0,0,0,0,0,0,0
1960,110067,167155,21004,4024617,254443,197837,5794105,1018982,0,0,0,0,0,0,0,0
1970,205200,595300,80500,4961600,122700,390400,7795000,1439300,0,0,0,0,0,0,0,0
1980,NA,824800,NA,8790600,3120600,NA,14720200,1984200,0,0,0,0,0,0,0,0
2000,2153726,1193129,822085,21596083,3336483,1538692,34264765,3624567,0,0,0,0,0,0,0,0
2005,3114877,1462593,1135756,26784268,3396072,2237960,41926302,3794776,25883.02184927409,11030.334677598943,12750.482033057277,50400.52830440503,16874.548177279943,16353.924638860013,49682.8723567163,18098.141369271925
2009,4140186,1677158,1360476,31673700,2253765,2831255,48348144,4411604,22095.097961962834,9521.213209438627,13864.629209186514,28899.51620896966,13192.438790262024,17974.236637089096,4857.31500607035,17847.224340619436
2015,5223047,2115879,1865987,35757893,2727558,3415300,56476777,5371113,23769.083286958576,11458.509719295242,14589.008652210478,31875.204943533256,16529.932841647213,19164.422536419672,4246.583155977629,20830.40561957326
2022,6525902,2449775,2403874,37368050,4226002,4626627,63549218,5948988,30987.443772997023,15752.124962860398,18656.119292080766,36093.78275449223,20135.809711061906,23672.48641254017,3128.0717443777867,20902.51022027504
