YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,110.54,2489.8,888.9,84220.54,24719.16,1272.8,113701.74,NA,0,0,0,0,0,0,0,0
1880,1015.3100000000001,14768.44,1085.54,250599.46,64074.01,13219.72,344879.2,116.72,0,0,0,0,0,0,0,0
1910,2909,36673,100,615812,130238,12841,813126,14553,0,0,0,0,0,0,0,0
1940,25410,53823,NA,1618125,268954,76556,2139631,96763,0,0,0,0,0,0,0,0
1950,50033,81652,6090,2413633,275022,88206,3268086,353450,0,0,0,0,0,0,0,0
1960,110067,167155,21004,4024617,254443,197837,5794105,1018982,0,0,0,0,0,0,0,0
1970,205200,595300,80500,4961600,122700,390400,7795000,1439300,0,0,0,0,0,0,0,0
1980,NA,824800,NA,8790600,3120600,NA,14720200,1984200,0,0,0,0,0,0,0,0
2000,2153726,1193129,822085,21596083,3336483,1538692,34264765,3624567,0,0,0,0,0,0,0,0
2001,2283466,1332858,936665,22767814,3474767,1726486,36204014,3681958,0,0,0,0,0,0,0,0
2005,3114877,1462593,1135756,26784268,3396072,2237960,41926302,3794776,25883.02184927409,11030.334677598943,12750.482033057277,50400.52830440503,16874.54817727994,16353.924638860015,49682.87235671631,18098.141369271925
2010,4376143,1883599,1509060,32915983,2274304,3087950,50729570,4682531,21872.39360227952,12253.197282924655,12616.631394560218,26456.318822022462,12743.808482964372,19953.19083654275,4650.313849742573,20909.266251163033
2011,4614107,1888772,1528464,33539187,2373901,3066477,51927158,4916250,23402.551977034822,13921.753263516111,11243.993412230022,33039.64508451566,16931.680747351147,18604.537992041354,4225.343593829704,18929.010397344726
2015,5223047,2115879,1865987,35757893,2727558,3415300,56476777,5371113,23769.083286958576,11458.509719295243,14589.008652210478,31875.204943533256,16529.932841647213,19164.422536419675,4246.583155977628,20830.405619573263
2016,5325607,2204591,1914302,36203500,2829226,3406488,57389751,5506037,26430.94513833541,14100.217317294677,15331.884257337053,30335.425687767587,13026.920669141075,19987.81568900322,5188.453929127977,21687.83190498954
2019,5928137,2381954,2085488,37185876,3189890,3866935,60484777,5846497,27781.80020822074,12029.958207250605,15147.472385525354,38514.87702535019,19499.537890921765,20646.597927340463,5039.8399960631405,20900.63854029936
2022,6525902,2449775,2403874,37368050,4226002,4626627,63549218,5948988,30987.443772997023,15752.124962860395,18656.119292080766,36093.78275449223,20135.809711061906,23672.486412540165,3128.0717443777858,20902.51022027504
2023,7065028,2559354,2391654,37972001,4181751,5120084,65137415,5847543,31690.90144448283,14744.314503850268,18749.687149757083,35771.249572786466,16940.65642959754,21985.139790725043,3434.303860604362,22184.174031633967
