YEAR,Central American,Cuban,Dominican,Mexican,Other Latino,South American,Total,Puerto Rican,Central American_se,Cuban_se,Dominican_se,Mexican_se,Other Latino_se,South American_se,Total_se,Puerto Rican_se
1850,110.54,2489.7999999999993,888.9000000000001,84220.53999999861,24719.15999999997,1272.8,113701.73999999874,NA,0,0,0,0,0,0,0,0
1880,1015.3100000000002,14768.439999999982,1085.5400000000002,250599.45999999915,64074.01000000018,13219.72000000001,344879.19999999506,116.72,0,0,0,0,0,0,0,0
1910,2909,36673,100,615812,130238,12841,813126,14553,0,0,0,0,0,0,0,0
1940,25410,53823,NA,1618125,268954,76556,2139631,96763,0,0,0,0,0,0,0,0
1950,50033,81652,6090,2413633,275022,88206,3268086,353450,0,0,0,0,0,0,0,0
1960,110067,167155,21004,4024617,254443,197837,5794105,1018982,0,0,0,0,0,0,0,0
1970,205200,595300,80500,4961600,122700,390400,7795000,1439300,0,0,0,0,0,0,0,0
1980,NA,824800,NA,8790600,3120600,NA,14720200,1984200,0,0,0,0,0,0,0,0
2000,3975208,2441193,1618809,42463805,8999951,2945185,69469245,7025094,0,0,0,0,0,0,0,0
2001,2283466,1332858,936665,22767814,3474767,1726486,36204014,3681958,0,0,0,0,0,0,0,0
2005,3114877,1462593,1135756,26784268,3396072,2237960,41926302,3794776,25883.02184927409,11030.334677598943,12750.482033057277,50400.52830440503,16874.548177279943,16353.924638860013,49682.8723567163,18098.141369271925
2010,4376143,1883599,1509060,32915983,2274304,3087950,50729570,4682531,21872.39360227952,12253.197282924655,12616.631394560218,26456.31882202246,12743.808482964374,19953.19083654275,4650.313849742573,20909.266251163033
2011,4614107,1888772,1528464,33539187,2373901,3066477,51927158,4916250,23402.551977034826,13921.753263516111,11243.993412230026,33039.64508451565,16931.680747351147,18604.53799204135,4225.343593829704,18929.010397344726
