YEAR,rank,OCC_Cuban,OCC_Dominican,OCC_Mexican,OCC_Other Latino,OCC_South American,OCC_Total,OCC_Central American,OCC_Puerto Rican,count_Cuban,count_Dominican,count_Mexican,count_Other Latino,count_South American,count_Total,count_Central American,count_Puerto Rican
1850,1,97,16,5,5,39,5,NA,NA,202.95999999999998,99.97,9701.410000000009,2583.03,127.32,12284.439999999997,NA,NA
1850,2,65,48,39,39,29,39,NA,NA,105.49,99.97,6013.280000000003,871.41,105.56,7012.010000000003,NA,NA
1850,3,157,97,207,1,97,207,NA,NA,99.97,96.36,5616.290000000002,574.6400000000001,89.33,5884.280000000002,NA,NA
1880,1,302,206,302,302,302,302,113,NA,2446.4200000000005,259.17,44028.98000000008,9700.980000000003,2286.21,58710.820000000196,182.9,NA
1880,2,163,32,39,5,39,39,83,NA,1863.9200000000005,251.1,26679.779999999977,3619.7599999999993,606.79,29198.160000000014,96.13,NA
1880,3,304,22,5,1,5,5,206,NA,1009.55,156.78,12383.059999999996,3548.34,570.4200000000001,16674.569999999996,96.13,NA
1910,1,426,960,196,12,196,196,954,15,6010,100,37096,3717,503,40306,200,2012
1910,2,954,NA,12,426,592,12,10,12,702,NA,35421,2709,300,39639,101,400
1910,3,994,NA,640,10,150,640,82,522,604,NA,33886,2105,201,34988,101,300
1940,1,496,NA,866,496,496,866,496,496,4231,NA,119428,15761,4963,125611,1200,6194
1940,2,156,NA,988,988,988,988,770,988,1970,NA,97038,10370,2690,116412,470,4009
1940,3,988,NA,496,156,156,496,988,770,1848,NA,33466,5297,1964,65815,457,2652
1950,1,690,690,820,690,690,690,690,690,7783,1234,141524,15969,5022,166721,3272,48313
1950,2,390,390,970,970,290,820,350,790,2777,330,111106,8212,2960,148372,1187,10117
1950,3,290,350,690,290,390,970,490,390,1856,231,85128,7503,2444,129061,957,7170
1960,1,990,990,990,990,990,990,990,990,74919,8158,2379091,120247,95740,3308810,57071,573584
1960,2,775,775,902,775,775,775,775,775,14344,2489,201726,11356,7176,291397,4880,117468
1960,3,705,995,985,290,290,902,995,995,5079,2292,143947,8273,5774,212085,4284,49909
1970,1,663,663,822,245,663,822,372,663,27800,6200,172400,2300,10000,182200,3900,33800
1970,2,283,912,283,283,372,663,663,692,10800,1400,57000,1800,8500,126700,3400,18700
1970,3,245,695,903,663,245,283,984,643,10400,1300,56900,1800,5500,92800,3400,17000
1980,1,744,NA,479,19,NA,479,NA,779,25600,NA,222200,55700,NA,246200,NA,39800
1980,2,19,NA,453,744,NA,453,NA,785,25300,NA,141100,53300,NA,228900,NA,29300
1980,3,313,NA,785,313,NA,779,NA,453,18300,NA,132900,53100,NA,209000,NA,27700
2000,1,570,472,605,476,423,472,423,570,35954,17121,406221,57408,42199,558975,75926,74468
2000,2,913,476,402,472,476,402,402,472,27166,16987,393912,52713,35133,511101,49914,62401
